Fold R^2,Fold MAE,Fold MSE
0.9992202947811138,1.5205391925898477,3.428495961033296
0.9990995447112955,1.6487160449329052,4.230652763708091
0.9992037715306465,1.5718655709476825,3.9041198236259076
0.9992158548312862,1.5263398668200217,3.577035843124031
0.9991203465762772,1.6001282847494218,3.854825230887465
0.9991495380828098,1.644066641427221,4.235277728466638
0.9991591362422194,1.6031629450998341,4.1240169360012855
0.9992401331873294,1.4916477999299491,3.624991847213124
0.9992938606149703,1.453090633020198,3.3414095130603636
0.999113933749162,1.616258929681374,4.250910005198262
